ПІБ кандидата,Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-02-08,204,Порошенко Петро Олексійович,,,10000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-02-14,207,Порошенко Петро Олексійович,,,30000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-02-14,208,Порошенко Петро Олексійович,,,20000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-02-14,209,Порошенко Петро Олексійович,,,12000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-02-15,214,Порошенко Петро Олексійович,,,25000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-02-20,219,Порошенко Петро Олексійович,,,15000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-02-22,223,Порошенко Петро Олексійович,,,20000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-02-27,224,Порошенко Петро Олексійович,,,45000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-02-28,225,Порошенко Петро Олексійович,,,3000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-01,226,Порошенко Петро Олексійович,,,125000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-04,227,Порошенко Петро Олексійович,,,15000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-05,228,Порошенко Петро Олексійович,,,10000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-05,229,Порошенко Петро Олексійович,,,11000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-06,231,Порошенко Петро Олексійович,,,2500000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-06,232,Порошенко Петро Олексійович,,,12500000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-06,233,Порошенко Петро Олексійович,,,5000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-07,234,Порошенко Петро Олексійович,,,3000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-07,235,Порошенко Петро Олексійович,,,2000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-11,236,Порошенко Петро Олексійович,,,1000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-12,237,Порошенко Петро Олексійович,,,1000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-12,238,Порошенко Петро Олексійович,,,14000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-13,239,Порошенко Петро Олексійович,,,4000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-14,240,Порошенко Петро Олексійович,,,4000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-14,241,Порошенко Петро Олексійович,,,500000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-15,242,Порошенко Петро Олексійович,,,1500000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-15,243,Порошенко Петро Олексійович,,,8000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-15,244,Порошенко Петро Олексійович,,,600000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-18,245,Порошенко Петро Олексійович,,,5000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-18,246,Порошенко Петро Олексійович,,,10000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-21,254,Порошенко Петро Олексійович,,,3000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-22,255,Порошенко Петро Олексійович,,,1700000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-22,256,Порошенко Петро Олексійович,,,8000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-26,258,Порошенко Петро Олексійович,,,3000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-27,259,Порошенко Петро Олексійович,,,3000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-27,260,Порошенко Петро Олексійович,,,3000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-27,261,Порошенко Петро Олексійович,,,1000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-28,262,Порошенко Петро Олексійович,,,2000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-28,263,Порошенко Петро Олексійович,,,5000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-28,264,Порошенко Петро Олексійович,,,6600000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-29,265,Порошенко Петро Олексійович,,,1100000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-29,266,Порошенко Петро Олексійович,,,47000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-03-29,267,Порошенко Петро Олексійович,,,"46444,18"
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-08,272,Порошенко Петро Олексійович,,,20000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-08,273,Порошенко Петро Олексійович,,,8000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-08,274,Порошенко Петро Олексійович,,,2100000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-09,589496,Порошенко Петро Олексійович,,,15000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-10,1,Порошенко Петро Олексійович,,,3000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-10,8,Порошенко Петро Олексійович,,,21800000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-10,9,Порошенко Петро Олексійович,,,3000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-10,10,Порошенко Петро Олексійович,,,1000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-11,12,Порошенко Петро Олексійович,,,1000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-11,15,Порошенко Петро Олексійович,,,1000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-11,16,Порошенко Петро Олексійович,,,11000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-12,17,Порошенко Петро Олексійович,,,12000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-12,18,Порошенко Петро Олексійович,,,1000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-15,19,Порошенко Петро Олексійович,,,2100000
