ПІБ кандидата,Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-15,21,Порошенко Петро Олексійович,,,500000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-16,22,Порошенко Петро Олексійович,,,2200000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-16,23,Порошенко Петро Олексійович,,,3000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-17,24,Порошенко Петро Олексійович,,,1000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-17,26,Порошенко Петро Олексійович,,,1500000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-17,27,Порошенко Петро Олексійович,,,1000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-17,28,Порошенко Петро Олексійович,,,700000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-18,29,Порошенко Петро Олексійович,,,300000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-18,30,Порошенко Петро Олексійович,,,300000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-18,33,Порошенко Петро Олексійович,,,500000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-19,34,Порошенко Петро Олексійович,,,4800000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-19,35,Порошенко Петро Олексійович,,,11000000
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-19,37,Порошенко Петро Олексійович,,,"602570,57"
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-19,39,Порошенко Петро Олексійович,,,"481554,98"
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-19,40,Порошенко Петро Олексійович,,,"316526,4"
Порошенко Петро Олексійович,самовисування,гроші кандидата,2019-04-19,41,Порошенко Петро Олексійович,,,"1213494,4"
