ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-12,22717004,ВМП “Горизонт”,"Харківська обл., м. Первомайськ, вул. Гагаріна, буд. 16",21235948,+; оплата ефірного часу на телебаченні згідно рахунку№7 від 2019-03-12,28800,юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-13,22740497,ТОВ “Наша Прага”,"м. Київ, вул. Жилянська, буд. 101А",33642085,+; оплата ефірного часу на телебаченні згідно рахунку№11 від 2019-03-13,175200,юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-13,22739533,ТОВ “Коледж преси та телебачення”,"м. Миколаїв, вул. Даля, буд. 11А",20914191,+; оплата ефірного часу на телебаченні згідно рахунку№1-юк від 2019-03-13,40000,юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-14,22757340,ТОВ “Телекомпанія “Телесвіт”,"м. Київ, вул. Сімʼї Хохлових, буд. 15, оф. 508",35210849,+;оплата ефірного часу на телебаченні згідно рахунку№5 від 2019-03-14,23200,юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-15,22765380,ТОВ “Телерадіокомпанія “Відікон”,"м. Суми, вул. Харківська, буд. 5",21107661,+; оплата ефірного часу на телебаченні згідно рахунку№72 від 2019-03-14,18720,юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-15,22779234,ТОВ “ТРК 3-Студія”,"м. Івано-Франківськ, вул. Січових Стрільців, буд. 56",23797886,+; оплата ефірного часу на телебаченні згідно рахунку№С Ф0000027 від 2019-03-14,28080,юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-15,22776821,"ТОВ ""Телерадіокомпанія ТТV""","м. Кропивницький, вул. Медведєва, буд. 1А",13745760,+; оплата ефірного часу на телебаченні згідно рахунку№36 від 2019-03-14,23400,юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-18,22799828,"ТОВ ""Телерадіокомпанія ""Вікка""","м. Черкаси, вул. Юрія Іллєнка, буд. 27",21385292,+; оплата ефірного часу на телебаченні згідно рахунку№68- Івід 2019-03-14,"12991,68",юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-18,22798496,"ТОВ ""Телерадіокомпанія ""Вікка""","м. Черкаси, вул. Юрія Іллєнка, буд. 27",21385292,+; оплата ефірного часу на телебаченні згідно рахунку№С Ф000553від 2019-03-18,18330,юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-19,22824585,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,оплата ефірного часу на телебаченні згідно рахунку№НТК000000296 від2019-03-19,"15993,12",юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-19,22826025,ПП “Телерадіокомпанія “Сфера-ТВ”,"м. Рівне, вул. Міцкевича, буд. 11, оф. 30",33910609,оплата ефірного часу на телебаченні згідно рахунку№13/п/1 від 19.03.19,25080,юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-19,22826944,"ВМП ""Горизонт""","Харківська обл., м. Первомайськ, вул. Гагаріна, буд. 16",21235948,оплата ефірного часу на телебаченні згідно рахунку№27 від 2019-03-18,28800,юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1211,2019-03-19,22812264,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,оплата ефірного часу на телебаченні згідно рахунку№НТК000000288 від 2019-03-18,"47235,76",юридична особа,оплата ефірного часу на телебаченні
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1110,2019-03-20,22843684,ФОП Дітрих Маргарита Вікторівна,м. Київ,,оплата за виготовлення друкованих матеріалів №МВ-0000046 від 2019-03-20р,2570,ФОП,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Кармазін Юрій Анатолійович,Партія захисників Вітчизни,221,1110,2019-03-20,22847227,ФОП Дітрих Маргарита Вікторівна,м. Київ,,оплата за виготовлення друкованих матеріалів №МВ-0000047 від 2019-03-20р,9850,ФОП,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
