ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Кривенко Віктор Миколайович,Народний Рух України,223,1212,2019-02-15,1,"ТОВ ""Телерадіокомпанія ""Львівська хвиля""","м. Львів, вул. Гуцульська, буд. 9А",13824151,Оплата ефірноо часу на радіо,14400,юридична особа,оплата ефірного часу на радіо
Кривенко Віктор Миколайович,Народний Рух України,223,1212,2019-02-18,2,"ТОВ ""Радіокомпанія ""Західний полюс""","м. Івано-Франківськ, вул. Незалежності, буд. 44",31523755,Оплата ефірного часу нна радіо,5400,юридична особа,оплата ефірного часу на радіо
Кривенко Віктор Миколайович,Народний Рух України,223,1211,2019-02-18,3,"Івано-Франківське обласне телебачення ""Галичина""","м. Івано-Франківськ, вул. Грушевського, буд. 21, оф. 701",13641427,Оплата ефірного часу на телебачен,18600,юридична особа,оплата ефірного часу на телебаченні
Кривенко Віктор Миколайович,Народний Рух України,223,1340,2019-02-20,4,Відділ культури Гадяцької РДА,"м. Гадяч, вул. Тимошенка, буд. 10А",02229764,Оренда будинків,1000,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Кривенко Віктор Миколайович,Народний Рух України,223,1212,2019-02-27,7,"ТОВ ""Богіславськ інформаційн агенція""","Київська обл., с. Шупики, вул. Центральна, буд. 1Б",40128704,Оплата ефірного часу на радіо,4000,юридична особа,оплата ефірного часу на радіо
Кривенко Віктор Миколайович,Народний Рух України,223,1220,2019-02-27,5,"ТОВ ""Редакц газети ""Вісті.Інформація.Реклама""","м. Бориспіль, вул. Привокзальна, буд. 76А",36077172,Оплата друкован площ у друкован ЗМІ,12000,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Кривенко Віктор Миколайович,Народний Рух України,223,1160,2019-02-27,6,"ТОВ ""Солінг-Сервіс""","м. Київ, вул. Ялтинська, буд. 5Б/12",41914042,Виготов (придбан) та встановл агітаційн наметів,115000,юридична особа,виготовлення (придбання) та встановлення агітаційних наметів
Кривенко Віктор Миколайович,Народний Рух України,223,1350,2019-02-28,9,ФОП Шевчук Ігор Романович,м. Івано-Франківськ,,Розміщен друкованагіт матер на носіях зовнішн реклами,250,юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Кривенко Віктор Миколайович,Народний Рух України,223,1110,2019-02-28,8,Приймак Вадим Михайлович,м. Івано-Франківськ,,Виготовл друкован матеріал,1500,ФОП,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Кривенко Віктор Миколайович,Народний Рух України,223,1120,2019-03-01,11,"Міська телестудія ""Миргород""","м. Миргород, вул. Незалежності, буд. 2",32500283,Виготовлвідеозаписів,500,юридична особа,виготовлення відеозаписів
Кривенко Віктор Миколайович,Народний Рух України,223,1110,2019-03-01,16,Німчук М З,"Івано-Франківська обл., м. Коломия",,Виготовл друкован матеріал,750,ФОП,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Кривенко Віктор Миколайович,Народний Рух України,223,1211,2019-03-01,12,"Міська телестудія ""Миргород""","м. Миргород, вул. Незалежності, буд. 2",32500283,Оплата ефірного часу на телебачен,750,юридична особа,оплата ефірного часу на телебаченні
Кривенко Віктор Миколайович,Народний Рух України,223,1110,2019-03-01,10,Водопʼян Ганна Ерастівна,м. Камʼянське,,Виготовл друкован матеріал,2150,ФОП,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Кривенко Віктор Миколайович,Народний Рух України,223,1340,2019-03-01,13,"Підприєм ""Будинок Профспіл""","м. Дніпро, просп. Яворницького, буд. 93",23941567,Оренда будинків,2800,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
