ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Мураєв Євгеній Володимирович,Наші,3110,3110,2019-03-15,327,Невідоме Імʼя,,,,"1113,6",фізична особа,Перерахування внесків фізичних осіб до Державного бюджету
Мураєв Євгеній Володимирович,Наші,3110,3110,2019-03-15,325,Невідоме Імʼя,,,,"7558,63",фізична особа,Перерахування внесків фізичних осіб до Державного бюджету
Мураєв Євгеній Володимирович,Наші,157,1110,2019-02-22,1,"ТОВ ""ФАКТОР-ДРУК""","м. Харків, вул. Саратовська, буд. 51",20030635,"+;1110;виготовлення друкованих матеріалів (виборчих листівок) зг. дог. №21-02/19 від 19-02-21р., зг рах. №1901528 від 19-02-21 р. в т.ч. ПДВ 20% 3300,00 грн.",19800,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Мураєв Євгеній Володимирович,Наші,157,1130,2019-03-01,6,ФОП Крамар Ганна Євгенівна,м. Суми,,"+;1130;виготовлення аудіозапису зг.дог.№010319/1 від 19-03-01р., рах.№СФ-00008 від 19-03-01р. без ПДВ",600,ФОП,виготовлення аудіозаписів
Мураєв Євгеній Володимирович,Наші,157,1220,2019-02-25,2,"Сумська громадсько-ділова газета ""Ваш Шанс"" (у формі товариства з обмеженою відповідальністю)","м. Суми, вул. Кооперативна, буд. 19",21120470,"+;1220;оплата друкованих площ у засобах мас інф-ї зг.дог. №22/02-19 про розміщ мат-лів передвиб агіт-ї від 19-02-22р., зг рах.№20 від 19-02-25р. в т.ч. ПДВ 20%",3050,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Мураєв Євгеній Володимирович,Наші,157,1220,2019-02-26,3,"ТОВ ""Торговий дім Петро і Павел""","м. Суми, вул. Петропавлівська, буд. 70",21111962,"+;1220;опата друкованих площ у засобах мас інформац зг.дог.№264 про розміщ мат-лів передвиб агіт-ї від 19-02-22р., зг рах.№4/4026 від 19-02-25р. в т.ч. ПДВ 20%","3148,2",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Мураєв Євгеній Володимирович,Наші,157,1400,2019-03-01,4,"Громадська організація ""Творчий центр прогресивного розвитку особистості ""Пектораль""","м. Суми, вул. Заливна, буд. 13, кв. 434",40871354,"+;1400;інші витрати на передвиборну агітацію (організац та провед масового заходу) зг.дог.№21 від 19-02-28р., рах.№21 від 19-02-28р. без ПДВ",7000,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Мураєв Євгеній Володимирович,Наші,157,1400,2019-03-01,5,ФОП Шепілова Світлана Михайлівна,м. Суми,,"+;1400;інші витрати на передвиборну агітацію (розміщ. звукового інформац матеріала) зг.дог. №010319/2 від 19-03-01р., рах.№1632-ШП від 19-03-01р. без ПДВ",1350,ФОП,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Мураєв Євгеній Володимирович,Наші,157,1400,2019-03-01,7,ФОП Крамар Ганна Євгенівна,м. Суми,,"+;1400;інші витрати на передвиборну агітацію (розміщення звук інформ матер) зг. дог.№010319/1 від 19-03-01р., рах.№СФ-00009 від 19-03-01р. без ПДВ",2880,ФОП,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Мураєв Євгеній Володимирович,Наші,223,1350,2019-02-04,2,"ТОВ""МЕДІА НАЙС""","м. Київ, вул. ЛЮТЕРАНСЬКА, буд. 15, ЛІТ. А, Н/П №17",38918644,"+;1350;Розм.друк.агітац.матеріалів чи політ.рекл.на носіях зовн.рекл.(білбордах,сітілайтах,скролах),зг.з Р/ф №СФ-0000009 від19-01-31,у т.ч.ПДВ-116367,00грн..",698202,юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
