ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Шевченко Олександр Леонідович,Українське обʼєднання патріотів – УКРОП,,1211,2019-01-29,9,"ТОВ ""Телерадіокомпанія ""Алекс ТВ""","м. Київ, вул. Кирилівська, буд. 23",31036723,"Оплата за розповсюдження передвиборчої агітації на каналах телебачення зг.рах. №1 від 28.01.19р. По дог. № ПА-8/4 від 28.01.19 р. В.т.ч. ПДВ 20% - 798,00 грн.",4788,юридична особа,оплата ефірного часу на телебаченні
Шевченко Олександр Леонідович,Українське обʼєднання патріотів – УКРОП,,1211,2019-01-29,1,"ТОВ ""ТАК ТВ+""","м. Київ, вул. Кирилівська, буд. 23",37701196,"Оплата за розповсюдження передвиборчої агітації на каналах телебачення зг.рах. №1 від 28.01.19р. По дог. № ПА-8/3 від 28.01.19 р. В.т.ч. ПДВ 20% - 798,00 грн.",4788,юридична особа,оплата ефірного часу на телебаченні
Шевченко Олександр Леонідович,Українське обʼєднання патріотів – УКРОП,,1211,2019-01-29,1,"ТОВ ""Телерадіокомпанія ""S-ТЕТ""","м. Київ, вул. Кирилівська, буд. 23",31645208,"Оплата за розповсюдження передвиборчої агітації на каналах телебачення зг.рах. №1 від 28.01.19р. По дог. № ПА-8/6 від 28.01.19 р. В.т.ч. ПДВ 20% - 798,00 грн.",4788,юридична особа,оплата ефірного часу на телебаченні
Шевченко Олександр Леонідович,Українське обʼєднання патріотів – УКРОП,,1211,2019-01-29,1,"ТОВ ""Компанія інформації радіотелекомунікації ""ТОР""","м. Київ, вул. Кирилівська, буд. 23",19384641,"Оплата за розповсюдження передвиборчої агітації на каналах телебачення зг.рах. №1 від 28.01.19р. По дог. № ПА-8/2 від 28.01.19 р. В.т.ч. ПДВ 20% - 798,00 грн.",4788,юридична особа,оплата ефірного часу на телебаченні
Шевченко Олександр Леонідович,Українське обʼєднання патріотів – УКРОП,,1211,2019-01-29,1,"ТОВ ""Телерадіокомпанія ""TБ Стимул""","м. Київ, вул. Кирилівська, буд. 23",30462482,"Оплата за розповсюдження передвиборчої агітації на каналах телебачення зг.рах. №1 від 28.01.19р. По дог. № ПА-8/7 від 28.01.19 р. В.т.ч. ПДВ 20% - 798,00 грн.",4788,юридична особа,оплата ефірного часу на телебаченні
Шевченко Олександр Леонідович,Українське обʼєднання патріотів – УКРОП,,1211,2019-01-29,10,"ТОВ ""Телевізійна компанія ""Приват ТБ Дніпро""","м. Дніпро, вул. Набережна перемоги, буд. 50",23376587,"Оплата за розповсюдження передвиборчої агітації на каналах телебачення зг.рах. №1 від 28.01.19р. По дог. № ПА-8/5 від 28.01.19 р. В.т.ч. ПДВ 20% - 798,00 грн.",4788,юридична особа,оплата ефірного часу на телебаченні
Шевченко Олександр Леонідович,Українське обʼєднання патріотів – УКРОП,,1400,2019-01-29,5,Тимчук Ярослав Федорович,"Івано-Франківська обл., м. Яремче, с. Поляниця",,Оплата рекламних послуг в мережі інтернетзг.рах. №1 від 29.01.19 р. Без ПДВ,150000,ФОП,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Шевченко Олександр Леонідович,Українське обʼєднання патріотів – УКРОП,,1211,2019-01-29,1,"ТОВ ""Рєал істейт-ТВ""","м. Київ, вул. Кирилівська, буд. 23",35405350,"Оплата за розповсюдження передвиборчої агітації на каналах телебачення зг.рах. №1 від 28.01.19р. По дог. № ПА-8/1 від 28.01.19 р. В.т.ч. ПДВ 20% - 25000,00 грн.",150000,юридична особа,оплата ефірного часу на телебаченні
Шевченко Олександр Леонідович,Українське обʼєднання патріотів – УКРОП,,1211,2019-01-29,6,"ТОВ ""Гравіс-кіно""","м. Київ, вул. Кирилівська, буд. 23",36257228,"Оплата за розповсюдження передвиборчої агітації на каналах телебачення зг.рах. №2 від 28.01.19р. По дог. № ПА-8 від 28.01.19 р. В.т.ч. ПДВ 20% - 25000,00 грн.",150000,юридична особа,оплата ефірного часу на телебаченні
Шевченко Олександр Леонідович,Українське обʼєднання патріотів – УКРОП,,1211,2019-01-29,3,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,"Оплата ефірного часу на т/б, розповсюдження передвиборної агітації на каналах т/б зг.рах № 17 від 28.01.19 р. дог № ПА7 від 28.01.19 р. В.т.ч. ПДВ 20% - 66666,67 грн.",400000,юридична особа,оплата ефірного часу на телебаченні
