ПІБ кандидата,Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-01,961,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,3000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-06,971,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,10000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-06,972,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,3000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-07,980,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,16000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-07,981,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,3000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-08,982,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,19000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-08,983,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,1000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-11,986,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,3000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-13,992,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,5000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-13,994,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,50000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-14,1002,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,10000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-15,1011,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,12000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-20,1029,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,9400000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-21,1039,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,3600000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-22,1041,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,2800000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-22,1042,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,1000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-22,1043,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,5000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-26,1053,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,4000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-26,1061,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,1000000
