ПІБ кандидата,Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-27,1063,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,1000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-02-28,1064,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,9400000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-01,1069,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,2000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-04,1070,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,2200000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-04,1071,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,1700000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-05,1079,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,2700000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-06,1087,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,2000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-06,1089,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,5300000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-07,1091,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,5250000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-11,1092,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,750000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-11,1094,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,3300000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-11,1099,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,1000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-11,1100,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,34000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-12,1104,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,3460000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-12,1105,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,110000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-13,1110,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,135000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-13,1114,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,2800000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-13,1115,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,1300000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-13,1117,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,100000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-14,1118,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,130000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-14,1121,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,260000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-14,1122,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,190000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-14,1124,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,85000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-15,1128,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,130000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-15,1140,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,3900000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-15,1145,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,54000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-15,1146,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,26000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-18,1148,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,1570000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-18,1151,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,1194000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-18,1153,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,80000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-19,1157,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,60000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-19,1158,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,190000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-19,1159,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,125000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-19,1160,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,6600000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-19,1161,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,700000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-19,1165,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,320000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-20,1167,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,460000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-20,1168,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,10000000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-21,1170,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,380000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-21,1171,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,150000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-21,1173,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,110000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-22,1178,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,135000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-22,1179,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,9160000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-22,1181,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,220000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-22,1182,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,655000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-22,1183,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,15000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-22,1184,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,58000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-25,1186,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,1500000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-25,1187,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,200000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-26,1190,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,250000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-26,1191,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,3530000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-26,1192,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,195000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-26,1203,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,11840000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-26,1205,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,220000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-26,1206,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,570000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-27,1207,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,150000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-27,1208,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,3317000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-27,1209,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,700000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-27,1210,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,840000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-27,1211,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,786000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-28,1212,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,3500000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-28,1215,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,390000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-28,1218,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,4600000
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-29,1219,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,"79742,43"
Тимошенко Юлія Володимирівна,"Всеукраїнське об'єднання ""Батьківщина""",гроші партії,2019-03-29,1220,Центральний офіс,"м. Київ, вул. Турівська, буд. 15",20069956,2904012
