ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Бондар Віктор Васильович,Відродження,221,1120,2019-02-20,3,"ПрАТ ""РТМК ""Тоніс-центр""","м. Харків, вул. Римарська, буд. 23А",14059592,"Виготовлення відеозаписів, згідно рахунку №68 від 19.02.19",3500,юридична особа,виготовлення відеозаписів
Бондар Віктор Васильович,Відродження,221,1400,2019-02-20,8,"ТОВ ""ЕФЕКТИВНИЙ РОЗУМ""","м. Харків, вул. Римарська, буд. 25, кв. 42",39607093,"Інші витрати на передвиборну агітацію (на сайті), згідно рахунку №СФ-0000015 від 19.02.19",5150,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Бондар Віктор Васильович,Відродження,221,1400,2019-02-20,7,ФОП Єрмаков Максим Ігорович,"Донецька обл., м. Маріуполь",,"Інші витрати на передвиборну агітацію (на сайті), згідно рахунку №ХА04/02 від 20.02.19",6050,ФОП,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Бондар Віктор Васильович,Відродження,221,1140,2019-02-20,9,ФОП Бабич Ілона Володимирівна,м. Київ,,"Виготовлення інших матеріалів передвиборної агітації, згідно рахунку № 15 від 20.02.19",29400,ФОП,виготовлення інших матеріалів передвиборної агітації
Бондар Віктор Васильович,Відродження,221,1211,2019-02-20,5,"ТОВ ""Телерадіокомпанія ""Сімон""","м. Харків, майдан Свободи, буд. 7",21217525,"Оплата ефірного часу на телебаченні, згідно рахунку №А 15/6 від 19.02.19",35400,юридична особа,оплата ефірного часу на телебаченні
Бондар Віктор Васильович,Відродження,221,1211,2019-02-20,2,"ПрАТ ""РТМК ""Тоніс-центр""","м. Харків, вул. Римарська, буд. 23А",14059592,"Оплата ефірного часу на телебаченні, згідно рахунку №68 від 19.02.19",37440,юридична особа,оплата ефірного часу на телебаченні
Бондар Віктор Васильович,Відродження,221,1110,2019-02-20,6,"ТОВ ""Український газетний синдикат""","м. Бровари, вул. Москаленка Сергія, буд. 16Б",39699378,"Виготовлення друкованих матеріалів, згідно рахунку №86 від 19.02.19","151999,2",юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Бондар Віктор Васильович,Відродження,221,1160,2019-02-20,4,ФОП Войтенко В.М.,м. Київ,,"Виготовлення та встановлення агітаційних наметів, згідно рахунку №СФ-0000005 від 19.02.19",315000,ФОП,виготовлення (придбання) та встановлення агітаційних наметів
Бондар Віктор Васильович,Відродження,221,1340,2019-02-21,11,"ТОВ ""ХАРКІВ ПАЛАС""","м. Харків, вул. Клочківська, буд. 67",37764848,"Оренда буд. і приміщень усіх форм власн. для проведення зборів громадян та ін. зустрічей 3 виборцями, згідно рахунку №258 від 19.02.19",6000,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Бондар Віктор Васильович,Відродження,221,1211,2019-02-21,10,"ТОВ ""ТРК ""ІРТ-Полтава""","м. Полтава, вул. Конституції, буд. 4",35026331,"Оплата ефірного часу на телебаченні, згідно рахунку №□>-2835/1 від 21.02.19",18240,юридична особа,оплата ефірного часу на телебаченні
