ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Шевченко Ігор Анатолійович,самовисування,220,1350,2019-01-23,3,"ТОВ ""КІТ МЕДІА""",м. Київ,41497858,+;1350;Розмі щення друков-х агітац-х матералів чи політ-ї реклами на носіях зовніш. реклами (білборди.сіт ілайти) зг. Рах.№ 4 від 2019-01-04р„ у т.ч. ПДВ20%.,"307690,2",юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Шевченко Ігор Анатолійович,самовисування,220,1110,2019-01-23,4,"ТОВ ""Новий друк""",м. Київ,22891092,"+;1110;Вигот овлення друков-х матералів (брошюра) зг. Рах.№ 19-0067 від 2019-01-18р., У т.ч. ПДВ20%.",19440,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Шевченко Ігор Анатолійович,самовисування,220,1140,2019-01-24,6,"ПП “Арніка- 2""",м. Київ,21555729,"+;1140;вигот овленя інших матеріалів предвиборної агітації зг.Рах.# 82621 від 2019-01-17р., в т.ч.ПДВ 20%","10432,02",юридична особа,виготовлення інших матеріалів передвиборної агітації
Шевченко Ігор Анатолійович,самовисування,220,1320,2019-01-29,8,"ТОВ “Інформаційне агентство"" Інтерфакс-Україна""",м. Київ,23732734,"+;1320;оренд а приміщення для проведення прес- конференції зг.Рах. #СФ-0000023 від 2019-01-29р., У т.ч.ПДВ 20%",6000,юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Шевченко Ігор Анатолійович,самовисування,220,1350,2019-01-31,10,"ТОВ ""КІТ МЕДІА""",м. Київ,41497858,"+;І350;Розмі щення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках,сітіл айтах) зг.Рах.# 18 від 2019-01-24","112419,6",юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Шевченко Ігор Анатолійович,самовисування,220,1110,2019-02-04,12,"ТОВ ""КІТ МЕДІА""",м. Київ,41497858,+;11 ІО.Вигот овлення друкованих матеріалів (постерів) зг.Рах.#29 від 2019-01-25р.у т.ч.ПДВ 20%,6000,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Шевченко Ігор Анатолійович,самовисування,220,1140,2019-02-05,14,ФОП Алаторських Василь Валерійович,м. Київ,,"+;1140;Вигот овлення інших матеріалів передвиборн ої агітації зг.Рах.#5991 від 2019-02-04р., без ПДВ20%",57842,ФОП,виготовлення інших матеріалів передвиборної агітації
Шевченко Ігор Анатолійович,самовисування,220,1140,2019-02-07,16,"ТОВ ""ЄВРОБІ3НЕС УКРАЇНА""",м. Київ,37848786,+;1140:Вигот овлення інших матеріалів передвиборн ої агітації зг.Рах.#56 від 2019-02-04р„ в т.ч.ПДВ 20%,23328,юридична особа,виготовлення інших матеріалів передвиборної агітації
Шевченко Ігор Анатолійович,самовисування,220,1140,2019-02-07,18,"ТОВ ""ЄВРОБІ3НЕС УКРАЇНА""",м. Київ,37848786,"+;1140;Вигот овлення інших матеріалів передвиборн ої агітації зг.Рах.#62 від 2019-02-05р., у т.ч.ПДВ 20%","15835,8",юридична особа,виготовлення інших матеріалів передвиборної агітації
Шевченко Ігор Анатолійович,самовисування,220,1110,2019-02-13,18,"ТОВ ""КІТ МЕДІА""",м. Київ,41497858,"+;1110;Вигот овлення друкованих матеріалів (постерів) зг.Рах.#55 від 2019-02-01р., у т.ч.ПДВ 20%",25812,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
