ПІБ кандидата,Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",гроші партії,2019-02-01,9,"Громадський рух ""Народний контроль""","м. Київ, вул. Дмитрівська, буд. 56А, кв. 24",39695017,2042000
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",гроші партії,2019-02-06,10,"Громадський рух ""Народний контроль""","м. Київ, вул. Дмитрівська, буд. 56А, кв. 24",39695017,100000
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",гроші партії,2019-02-07,11,"Громадський рух ""Народний контроль""","м. Київ, вул. Дмитрівська, буд. 56А, кв. 24",39695017,650000
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",гроші партії,2019-02-08,13,"Громадський рух ""Народний контроль""","м. Київ, вул. Дмитрівська, буд. 56А, кв. 24",39695017,155500
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",гроші партії,2019-02-08,12,"Громадський рух ""Народний контроль""","м. Київ, вул. Дмитрівська, буд. 56А, кв. 24",39695017,1500000
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",гроші партії,2019-02-11,14,"Громадський рух ""Народний контроль""","м. Київ, вул. Дмитрівська, буд. 56А, кв. 24",39695017,300000
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",гроші партії,2019-02-15,16,"Громадський рух ""Народний контроль""","м. Київ, вул. Дмитрівська, буд. 56А, кв. 24",39695017,905000
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",гроші партії,2019-03-01,17,"Громадський рух ""Народний контроль""","м. Київ, вул. Дмитрівська, буд. 56А, кв. 24",39695017,47000
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",гроші партії,2019-03-01,18,"Громадський рух ""Народний контроль""","м. Київ, вул. Дмитрівська, буд. 56А, кв. 24",39695017,185500
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",гроші партії,2019-03-07,19,"Громадський рух ""Народний контроль""","м. Київ, вул. Дмитрівська, буд. 56А, кв. 24",39695017,12000
